id,entity,type
958,New York Times,B-ORG
960,Mark Rutte,B-PER
961,Peter Wennink,B-PER
962,Tokyo Electron,B-ORG
964,Applied Materials,B-ORG
965,Fiona Lim,B-PER
966,Malayan Banking Berhard,B-LOC
967,Tổ chức Thương mại Thế giới,B-ORG
969,Tedros Adhanom Ghebreyes,B-PER
970,Ủy ban Khẩn cấp về COVID - 19,B-ORG
971,Tedros Adhanom Ghebreyesus,B-PER
974,Nam Carolina,B-LOC
975,tờ Bellingham Herald,B-ORG
977,Vladimir Putin,B-PER
980,Anatoly Antonov,B-PER
981,Liên bang Nga,B-ORG
982,Điện Kremlin,B-LOC
983,Dmitry Peskov Tây,B-PER
984,Đại học Dillard,B-ORG
985,Robert Collins,B-PER
988,Stephen Stepanek,B-PER
989,Brian Jack,B-PER
990,Chris LaCivita,B-PER
991,Dan Scavino,B-PER
992,Ron DeSantis,B-PER
993,Google Doo,B-ORG
994,Trân châu,B-LOC
995,Đài Loan,B-LOC
997,trân châu,B-LOC
998,người Đài Loan,B-MISC
1003,Cơ quan Hàng không Vũ trụ Mỹ,B-ORG
1004,Bill Nelson,B-PER
1006,Transonic Trus Wing,B-ORG
1007,Bob Pearce,B-PER
1008,Todd Citron,B-PER
1009,Trạm nổi Neptune,B-LOC
1010,Ngân hàng Đức,B-ORG
1011,Deutsche Bank,B-ORG
1012,Viện nghiên cứu kinh tế IFO,B-ORG
1014,Viện IFO,B-ORG
1016,Bộ Kinh tế Đức,B-ORG
1017,Christian Leye,B-PER
1018,Đảng cánh tả Hạ viện Đức,B-ORG
1019,Na Uy,B-LOC
1021,Nord Stream,B-LOC
1023,đảo Spitsbergen,B-LOC
1024,Jan Christian Vestre,B-PER
1025,Bộ Thương mại và Công nghiệp Na Uy,B-ORG
1026,Vnh h,B-LOC
1027,Di sảnjord,B-LOC
1029,Tân Hoa Xã hình nhà nước,B-ORG
1030,Trung Quốc CCTV,B-LOC
1031,Bộ Giao thông Vận tải Trung Quốc,B-ORG
1032,thành phố Vũ Hán,B-LOC
1033,Cục Quản lý Xuất nhập cảnh Trung Quốc,B-ORG
1034,Tân Hoa Xã,B-ORG
1036,thủ đô New Delhi,B-LOC
1037,Không quân,B-ORG
1038,rừng Parhadgarh,B-LOC
1039,Dharmender Gaur,B-PER
1040,India Times,B-ORG
1041,Madhya Pradesh,B-LOC
1042,Adarsh Katiyar,B-PER
1043,căn Gwalior,B-LOC
1044,Không quân Ấn Độ,B-ORG
1045,bang Arunachal Pradesh,B-LOC
1046,thị trấn Tawang,B-LOC
1047,Bipin Rawat,B-PER
1050,Andrey Melnik,B-PER
1052,tờ Sueddeutsche Zeitung,B-ORG
1053,Dmitry Kuleba,B-PER
1054,Lầu Năm Góc,B-ORG
1056,Phương Tây,B-LOC
1058,Văn phòng Tổng thống Ukraina,B-ORG
1059,Kirill Tymoshenko,B-PER
1061,Vyacheslav Shapovalov Công,B-PER
1062,Alexey Symonenko,B-PER
1063,Valentin Reznichenko,B-PER
1064,Alexander Starukh,B-PER
1065,Yaroslav Yanushevich,B-PER
1066,Dmitry Zhivitsky,B-PER
1067,Denis Shmi,B-PER
1068,Vyacheslav Shapovalov,B-PER
1069,Alexei Reznikov hội,B-PER
1070,Cục Chống Tham nhũng Quốc gia Ukraina,B-ORG
1071,Vasiliy Lozinsky,B-PER
1072,Bộ Phát triển Cộng đồng,B-ORG
1073,Ivan Lukerya,B-PER
1074,Pavel Khalimon,B-PER
1075,đảng Đầy tớ của Nhân dân,B-ORG
1076,Aleksey Arestovich,B-PER
1077,Bộ Năng lượng,B-ORG
1078,German Galushchenko,B-PER
1079,Bộ Thanh niên và Thể thao,B-ORG
1080,Vadim Gutzeit,B-PER
1081,Ủy ban Olympic Quốc gia Ukraina,B-ORG
1082,Bộ Công nghiệp Chiến lược,B-ORG
1083,Pavel Ryabikin,B-PER
1085,Washington Post,B-ORG
1086,Vox Media,B-ORG
1087,The Verge,B-ORG
1088,New York Magazine,B-ORG
1089,Jim Bankoff,B-PER
1090,Meghan McCarron,B-PER
1091,Emily Siegel,B-PER
1092,Chris Roush,B-PER
1093,trường Truyền thông,B-ORG
1094,Đại học Quinnipiac,B-ORG
1095,Trung tâm nghiên cứu Pew,B-ORG
1096,Công đoàn lao động WGA East,B-ORG
1097,tờ Washington Post,B-ORG
1098,Fred Ryan,B-PER
1099,Washington Post Magazine,B-ORG
1100,Vice Media,B-ORG
1101,Nancy Dubuc,B-PER
1102,Warner Media,B-ORG
1103,HBO Max,B-ORG
1104,Naveen Sarma,B-PER
1105,P Global Rating,B-ORG
1106,Adani Group,B-ORG
1108,Gautam Adani,B-PER
1109,Hindenburg Research,B-ORG
1111,Tập đoàn Adani,B-ORG
1112,Jugeshinder Singh,B-PER
1113,Adani Enterprises,B-ORG
1114,Arun Kejriwal,B-PER
1116,bang Gujarat,B-LOC
1117,khách sạn Taj Mahal Palace,B-LOC
1118,cao nguyên Tây Tạng,B-LOC
1119,bang Para,B-LOC
1120,sông Amazon,B-LOC
1123,Tạp chí Nature Climate Change,B-ORG
1124,Jurgen Kurths,B-PER
1125,Viện Nghiên cứu Tác động Khí hậu Potsdam,B-ORG
1126,Tây Tạng,B-LOC
1127,Nam Mỹ,B-LOC
1129,Trung Đông,B-LOC
1130,Novo Progresso,B-LOC
1131,Cao nguyên Tây Tạng,B-LOC
1134,Nature Climate Change,B-ORG
1136,Hans Joachim Schellnhuber,B-PER
1137,Liên Hợp Quốc,B-ORG
1138,bang Tây Australia,B-LOC
1139,Andy Robertson,B-PER
1140,Tây Australia,B-LOC
1141,thành phố Newman,B-LOC
1142,thành phố Perth,B-LOC
1143,Cơ quan Dịch vụ Cứu hỏa và Khẩn cấp Australia,B-ORG
1144,David Gill,B-PER
1145,DFES Country North,B-ORG
1146,Peter Szijjarto,B-PER
1147,Liên minh 90,B-ORG
1148,Đảng Xanh,B-ORG
1149,cơ quan hạt nhân Nga Rosatom,B-ORG
1151,Công ty Framatome,B-ORG
1152,Siemens Energy,B-ORG
1153,Annalena Baerbock,B-PER
1154,Robert Habeck,B-PER
1155,Viktor Orban,B-PER
1157,Saudi Arabia,B-LOC
1158,nhà máy lọc dầu Duna,B-ORG
1159,công ty MOL Hungary,B-ORG
1161,Cơ quan Năng lượng Quốc tế,B-ORG
1164,Pamela Munger,B-PER
1165,Christine McGuire,B-PER
1166,Bảo tàng Chiến tranh Lạnh,B-LOC
1167,làng Carp,B-LOC
1168,thành phố Ottawa,B-LOC
1169,Thủ đô Canada,B-LOC
1170,Cơ sở Tín hiệu Quân đội Khẩn cấp,B-ORG
1171,Trụ sở Chính phủ Khẩn cấp Trung ương,B-ORG
1172,Trạm Lực lượng Canada Carp,B-ORG
1173,John Diefenbaker,B-PER
1175,Pierre Elliott Trudeau,B-PER
1176,Justin Trudeau,B-PER
1177,Tây Virginia,B-LOC
1178,Mỹ hội Mỹ,B-LOC
1179,Nature Geoscience,B-ORG
1180,sao Hỏa,B-LOC
1181,Công viên Quốc gia Yellowstone,B-LOC
1182,núi lửa St,B-LOC
1183,Bắc Băng Dương,B-LOC
1185,Gennadiy Borisov,B-PER
1186,Davide Farnocchia,B-PER
1187,Vũ Hán,B-LOC
1189,tỉnh Hồ Bắc,B-LOC
1191,sông Dương Tử,B-LOC
1192,Global Times,B-ORG
1193,Hồ Đông,B-LOC
1194,Hoàng Hạc Lâu,B-LOC
1195,Tháp Hoàng Hạc,B-LOC
1196,Thành phố Vũ Hán,B-LOC
1197,Thụy Sĩ,B-LOC
1198,Fabienne Lupo,B-PER
1199,Foundation High Horology,B-ORG
1200,Liên đoàn Công nghiệp Đồng hồ Thụy Sĩ,B-ORG
1201,Michael Ovitz,B-PER
1202,Kevin Hart,B-PER
1203,John Legend,B-PER
1204,nhà bán l,B-ORG
1205,Jon Cox,B-PER
1206,công ty dịch vụ tài chính Kepler Cheuvreux,B-ORG
1207,Richard Mille,B-ORG
