entity,type
Bộ Chính trị,ORG
Hội Nông dân Việt Nam,ORG
N,PER
thư,ORG
Đảng đoàn Hội Nông Việt Nam,ORG
Bộ Chính trị,ORG
"Chỉ đạo phòng, chống",ORG
"Chỉ đạo phòng, chống tham nhũng,",ORG
Công an TP. HCM,ORG
Dương Ngọc Hải,PER
LÊ THOA,PER
Lê Hồng Nam,PER
Lê Thanh Liêm,PER
NGUYỄN VĂN NÊN,PER
Nguyễn Phú Trọng,PER
Nguyễn Phước Lộc,PER
Nguyễn Thị Lệ,PER
Nguyễn Văn Nên,PER
Nên,PER
Thành uỷ TP. HCM,ORG
Thành ủy TP. HCM,ORG
Thường vụ Thành uỷ TP,ORG
Uỷ ban Kiểm tra Thành uỷ TP,ORG
ban Tổ chức Thành uỷ TP,ORG
uỷ,ORG
"đạo phòng, chống",ORG
Bộ Ngoại giao,ORG
Bộ Quốc phòng,ORG
"Chỉ đạo phòng, chống tham nhũng,",ORG
LÊ THOA,PER
Nguyễn Văn Nên,PER
Nguyễn Xuân Phúc,PER
Phan Văn Giang,PER
Đảng,ORG
Bộ Công an,ORG
Phạm Minh Chính,PER
Tô Lâm,PER
Văn phòng Chính phủ,ORG
Vũ Đức Đam,PER
ĐỨC MINH,PER
Ủy ban Quốc gia về chuyển đổi số,ORG
Bộ Công an,ORG
Bộ GD & ĐT,ORG
Bộ LĐ - TB & XH,ORG
Bộ TN & MT,ORG
Ngân hàng Nhà nước Việt Nam,ORG
Phạm Minh Chính,PER
phòng Chính phủ,ORG
ĐỨC MINH,PER
Ủy ban Quốc gia về,ORG
Bộ Công an,ORG
Bộ Giao thông vận tải,ORG
Bộ Tài chính,ORG
Bộ Xây dựng,ORG
Phạm Bình Minh,PER
Phạm Minh Chính,PER
TRỌNG PHÚ,PER
UBND TP Hà Nội,ORG
Văn phòng Chính phủ,ORG
Ban,ORG
Ban Tổ chức Trung ương,ORG
Bộ Chính trị,ORG
Mai,PER
TTXVN,ORG
Thưởng,PER
Trương Thị Mai,PER
Tổ chức Trung ương,ORG
Võ Văn Thưởng,PER
thư,ORG
Ban Chấp hành Trung ương,ORG
Bộ TN & MT,ORG
Bộ Tài nguyên và Môi trường,ORG
NGUYỄN PHÚ TRỌNG,PER
Nguyễn Phú Trọng,PER
TRỌNG PHÚ,PER
Tài nguyên và Môi trường,ORG
nguyên,ORG
trường,ORG
Đảng Cộng sản Việt Nam,ORG
Bộ Chính trị,ORG
Bộ Nội vụ,ORG
Bộ TT - TT,ORG
Bộ Y tế,ORG
Chỉ đạo Đổi mới,ORG
Long,PER
TRỌNG PHÚ,PER
Trương Hải Long,PER
chức,ORG
vụ,ORG
Đào Hồng Lan,PER
ĐỨC MINH,PER
Bộ Công an,ORG
Bộ Ngoại giao,ORG
Bộ công an,ORG
Cục Xuất nhập cảnh,ORG
ICAO,ORG
Phạm Minh Chính,PER
TRỌNG PHÚ,PER
Tô Ân Xô,PER
Tổ chức Hàng không Dân dụng Quốc tế,ORG
Xô,PER
ĐỨC MINH,PER
Ban Thường vụ,ORG
Ban thường vụ,ORG
TRỌNG PHÚ,PER
Thành uỷ Hà Nội,ORG
Thành ủy Hà Nội,ORG
công an quận Cầu Giấy,ORG
Đội Cảnh sát PCCC,ORG
Nguyễn Đình Phúc,PER
Thành uỷ Hà Nội,ORG
Trần Sỹ Thanh,PER
Trọng Phú,PER
UBND TP Hà Nội,ORG
công an quận Cầu Giấy,ORG
Đinh Tiến Dũng,PER
Đặng Anh Quân,PER
Đỗ Đức Việt,PER
Đội Cảnh sát PCCC,ORG
Bí Thư Hà Nội,ORG
Công an quận Cầu Giấy,ORG
Nguyễn Đình Phúc,PER
TRỌNG PHÚ,PER
Thành uỷ Hà Nội,ORG
Thành ủy Hà Nội,ORG
Trần Sỹ Thanh,PER
UBND TP Hà Nội,ORG
Đinh Tiến Dũng,PER
Đặng Anh Quân,PER
Đỗ Đức Việt,PER
Đội Cảnh sát PCCC,ORG
Đội Cảnh sát PCCC công an quận Cầu Giấy,ORG
"Đội Cảnh sát phòng cháy, chữa ch",ORG
Ủy ban MTTQ TP Hà Nội,ORG
Bộ Công an,ORG
Hoạt,PER
HĐND TP Hà Nội,ORG
Lê Văn Hoạt,PER
Trọng Phú,PER
UBND TP Hà Nội,ORG
19,ORG
Ban Chỉ đạo phòng chống dịch COVID,ORG
HẢI DƯƠNG,PER
Võ Thị Ánh Xuân,PER
Bộ TT & TT,ORG
Hương,PER
Nguyễn Thị Mai Hương,PER
Sở TT & TT,ORG
Sở TT & TT Hà Nội,ORG
TRỌNG PHÚ,PER
UBND TP Hà Nội,ORG
Ban Kinh tế Trung ương,ORG
Bác Hồ,PER
Bùi Thị Quỳnh Vân,PER
Bùi Văn Cường,PER
Bộ Tài chính Việt Namưởng ban Kinh tế Trung ương,ORG
Hoàng Thanh Tùng,PER
Lê Thị Nga,PER
Lê Thị Thư,PER
Nguyễn Thị Thanh,PER
Phan Quang Nam,PER
Phạm Văn Đồng,PER
THANH NHẬT,PER
Tỉnh uỷ Quảng Ngãi,ORG
Uỷ ban Kinh tế,ORG
Uỷ ban Pháp luật,ORG
Uỷ ban Tư pháp,ORG
Văn phòng Quốc hội,ORG
Vũ Hồng Thanh,PER
Vương Đình Huệ,PER
nước Cộng hoà xã hội Chủ nghĩa Việt Nam,ORG
Bộ Thông tin và Truyền thông,ORG
TRỌNG PHÚ,PER
UBND TP Hà Nội,ORG
Bộ Chính trị,ORG
HĐND TP Hà Nội,ORG
Thanh,PER
Thành uỷ Hà Nội,ORG
Trần Sỹ Thanh,PER
Trọng Phú,PER
UBND TP Hà Nội,ORG
thành phố Hà Nội,ORG
Bộ Chính trị,ORG
HĐND TP Hà Nội,ORG
Nguyễn Ngọc Tuấn,PER
TRỌNG PHÚ,PER
Thành ủy Hà Nội,ORG
Trần Sỹ Thanh,PER
Tuấn,PER
UBND TP Hà Nội,ORG
Công an Lâm Đồng,ORG
Công an tỉnh Lâm Đồng,ORG
Trương Minh Đương,PER
VÕ TÙNG,PER
Bộ Chính trị,ORG
Bộ Công an,ORG
Chí Minh,PER
Nguyễn Phú Trọng,PER
Phạm Minh Chính,PER
sát nhân dân Việt Nam,ORG
Đảng ủy Công an Trung ương,ORG
Bộ Chính trị,ORG
HĐND TPHCM,ORG
MAI HOA,PER
NGÔ BÌNH,PER
Nguyễn Hồ Hải,PER
Nguyễn Thiện Nhân,PER
Nguyễn Thị Lệ,PER
Nguyễn Văn Dũng,PER
Nguyễn Văn Hiếu,PER
Nguyễn Văn Nên,PER
Phan Thị Thắng,PER
Phan Văn Mãi,PER
THU HƯỜNG,PER
Thành ủy TPHCM,ORG
Trung ương Đảng,ORG
Trần Thanh Mẫn,PER
UBND TPHCM,ORG
VIỆT DŨNG,PER
VĂN MINH,PER
X,ORG
hội,ORG
khu,ORG
Đại biểu Quốc hội TPHCM,ORG
Đảng,ORG
Ban Chấp hành Đảng bộ TPHCM,ORG
Bộ Chính trị,ORG
Công,ORG
HĐND TPHCM,ORG
Nguyễn Hồ Hải,PER
Nguyễn Thiện Nhân,PER
Nguyễn Thị Lệ,PER
Nguyễn Văn Dũng,PER
Nguyễn Văn Hiếu,PER
Nguyễn Văn Hiếuự khuyết,ORG
Nguyễn Văn Nên,PER
Phan Văn Mãi,PER
Thành ủy TPHCM,ORG
Trung ương Đảng,ORG
Trường Trung học cơ sở Mạch Kiếm Hùng,ORG
Trần Thanh Mẫn,PER
UBND TPHCM,ORG
VIỆT DŨNG,PER
biểu Quốc hội TPHCM,ORG
hội,ORG
quận 6,ORG
HONG SUN,PER
Hiệp hội Doanh nghiệp Hàn Quốc,ORG
Hàn Dân Quốc,ORG
Nguyễn Xuân Phúc,PER
Việt Nam,ORG
Yoon Suk Yeol,PER
nước CHXHCN Việt Nam,ORG
Bộ Quốc phòng,ORG
Phan Văn Giang,PER
Phạm Minh Chính,PER
Saikhanbayar Gursed,PER
TRẦN BÌNH,PER
Víctor Rojo Ramos,PER
Báo SGGP,ORG
Bộ Chính trị,ORG
HĐND TPHCM,ORG
MAI HOA,PER
NGÔ BÌNH,PER
Nguyễn Hồ Hải,PER
Nguyễn Thiện Nhân,PER
Nguyễn Văn Hiếuự khuyết,ORG
Nguyễn Văn Nên,PER
Phan Văn Mãi,PER
THU HƯỜNG,PER
Thành ủy TPHCM,ORG
Trung ương Đảng,ORG
Trần Thanh Mẫn,PER
UBND TPHCM,ORG
VIỆT DŨNG,PER
VĂN MINH,PER
biểu Quốc hội TPHCM,ORG
hội,ORG
HĐND TPHCM,ORG
NGÔ BÌNH,PER
UBND TPHCM,ORG
ASEAN,ORG
EC,ORG
EU,ORG
Giorgio Aliberti,PER
Hiệp định Bảo hộ đầu tư Việt Nam - EU,ORG
LÂM NGUYÊN,PER
Phạm Minh Chính,PER
Ủy ban châu Âu,ORG
Adrian Rurawhe,PER
Chris Hipkins,PER
Christopher Luxon,PER
Dân tộc,ORG
Giáo dục,ORG
Jacinda Ardern,PER
Jenny Salesa,PER
MINH CHÂU,PER
Quốc hội,ORG
Quốc hội New Zealand,ORG
Vương Đình Huệ,PER
"Ủy ban Đối ngoại, Quốc phòng và Thương mại",ORG
Ban Pháp chế,ORG
Ban Quản lý Khu Công nghệ cao,ORG
Chi hội Doanh nghiệp Khu Công nghệ cao TPHCM,ORG
Công nghệ cao TPHCM,ORG
HĐND TPHCM,ORG
Hồ Thị Thu Uyên,PER
Intel Việt Nam,ORG
LÊ MINH ĐỨC,PER
LÊ TRƯƠNG HẢI HIẾU,PER
MAI HOA,PER
NGÔ BÌNH,PER
NGỌC TRÂM,PER
Phan Văn Mãi,PER
Sở TN - MT,ORG
Sở TN - MT TPHCM,ORG
THU HƯỜNG,PER
TRẦN QUANG THẮNG,PER
UBND TPHCM,ORG
Viện Kinh tế và quản lý TPHCM,ORG
Võ Văn Hoan,PER
VĂN MINH,PER
Văn phòng ĐKĐĐ TPHCM,ORG
Văn phòng Đăng ký đất đai,ORG
tế,ORG
Bang Se - hwan,PER
Gyeonggi,ORG
Không,ORG
Kim Dong,PER
Kim Dong - yeon,PER
LG LCD Complex,ORG
Nam,ORG
Nguyễn Thị Lý,PER
Nguyễn Xuân Phúc,PER
QUỐC HÙNG,PER
SK Hynix,ORG
Việt Nam,ORG
Văn phòng Tỉnh trưởng,ORG
công ty chất bán dẫn Suwon Samsung,ORG
s,ORG
đại biểu cấp,ORG
Ban Thường vụ,ORG
Bộ Chính trị,ORG
Chiêu,PER
Học viện Cán bộ TPHCM,ORG
Hồ Chí Minh,PER
Nguyễn Hồ Hải,PER
Nguyễn Văn Hiếu,PER
Nguyễn Văn Nên,PER
Thành ủy TPHCM,ORG
VIỆT DŨNG,PER
VĂN MINH,PER
Bộ Chính trị,ORG
Bộ GTVT,ORG
Hồ Chí Minh,PER
Lênin,PER
Mác,PER
Nguyễn Văn Thể,PER
PHAN THẢO,PER
QUANG PHÚC,PER
Võ Văn Thưởng,PER
Vũ Đức Đam,PER
.,PER
B,PER
Bộ Quốc phòng Việt Nam,ORG
Phan Văn Giang,PER
Saikhanbayar Gursed,PER
T,PER
Choo Kyung - ho,PER
Han Duck - soo,PER
Nguyễn Xuân Phúc,PER
Phòng Thương mại và Công nghiệp Hàn Quốc,ORG
Phạm Bình Minh,PER
QUỐC HÙNG,PER
Bộ Kế hoạch và Đầu tư Việt Nam,ORG
Choo Kyung,PER
Choo Kyung - ho,PER
KCCI,ORG
Kế hoạch và Tài chính,ORG
Nguyễn Xuân Phúc,PER
Phòng Thương mại và Công nghiệp Hàn Quốc,ORG
Phạm Bình Minh,PER
QUỐC HÙNG,PER
tác Kinh tếàn diện Khu vực,ORG
Đại sứ quán Việt Nam,ORG
Bộ Tài chính,ORG
Cho Hyun Joon,PER
Han Jong - hee,PER
Hyosung,ORG
KDB,ORG
Kang Seoghoon,PER
Nguyễn Xuân Phúc,PER
Ngân hàng KDB,ORG
Ngân hàng Phát triển Việt Nam,ORG
QUỐC HÙNG,PER
Samsung,ORG
Samsung Electrics,ORG
Samsung Electronics,ORG
Trung tâm nghiên cứu và Phát triển,ORG
Tập đoàn Hyosung,ORG
VDB,ORG
Ban Chấp hành Trung ương,ORG
Ban Chấp hành Trung ương Đảng,ORG
Ban Kinh tế Trung ương,ORG
Bộ Chính trịưởng,ORG
PHAN THẢO,PER
QUANG PHÚC,PER
Trần Tuấn Anh,PER
ban Kinh tế Trung ương,ORG
- Thái,ORG
Dương,ORG
Han Duck Soo,PER
Han Duck Sooễn đàn Hợp tác kinh tế,ORG
Nguyễn Xuân Phúc,PER
Phạm Minh Chính,PER
QUỐC HÙNG,PER
. M. Systems Group,ORG
ASEAN,ORG
Bell,ORG
Boeing,ORG
Cộng hòa Liên bang Nigeria,ORG
Cộng đồng kinh tế Tây Phi,ORG
ECAS,ORG
Hum,PER
Hội đồng kinh doanh Hoa Kỳ - ASEAN,ORG
I,ORG
Imelda Martin,PER
Lockheed Martin,ORG
Michael Michalak,PER
PHAN THẢO,PER
Phạm Minh Chính,PER
Raytheon,ORG
USABC,ORG
VGP,ORG
Yemi Osinbajo,PER
của,ORG
Dame Cindy Kiro,PER
Damien O ’ Connor,PER
HẠNH CHI,PER
Quốc hội Việt Nam,ORG
Thương mại và tăng trưởng xuất khẩu,ORG
Vương Đình Huệ,PER
hội,ORG
Ban Chấp hành Trung ương,ORG
Ban Chấp hành Trung ương Đảng Cộng sản Trung Quốc,ORG
Giang,PER
Giang Trạch Dân,PER
HĐND TPHCM,ORG
Nguyễn Văn Dũng,PER
Nguyễn Văn Nên,PER
Phan Văn Mãi,PER
THANH HẰNG,PER
Thành ủy TPHCM,ORG
Trạch Dân,PER
Trần Kim Yến,PER
Tổng lãnh sự quán Trung,ORG
UBND TPHCM,ORG
VIỆT DŨNG,PER
nước Cộng hòa Nhân dân Trung Hoa,ORG
nước Cộng hòa Nhân dân Trung Hoa Giang,ORG
Đảng Cộng sản Trung Quốc,ORG
Ủy ban MTTQ Việt Nam TPHCM,ORG
- Thái Bình Dương,ORG
APEC,ORG
ASEAN,ORG
Bộ Giáo dục,ORG
Bộ Kế hoạch Tài chính Hàn Quốc,ORG
Bộ Kế hoạch Đầu tư Việt Nam,ORG
Bộ Ngoại giao,ORG
Bộ Y tế,ORG
EDC,ORG
Hiệp hội các quốc gia Đông Nam Á,ORG
Hội đồng Bảo an Liên hợp quốc,ORG
Hợp tác Mê Công - Hàn Quốc,ORG
Liên hợp quốc,ORG
Nguyễn Phú Trọng,PER
Nguyễn Xuân Phúc,PER
OECD,ORG
Phạm Minh Chính,PER
QUỐC HÙNG,PER
Quốc hội,ORG
Quỹ Xúc tiến phát triển kinh tế,ORG
Thương mại Hàng hóa ASEAN,ORG
Trung tâm văn hóa Việt Nam,ORG
Tổ chức phát triển hợp tác kinh tế,ORG
Tổ chức thương mại thế giới,ORG
UN,ORG
VKIST,ORG
Viện VKIST,ORG
Vương Đình Huệ,PER
Yoon Suk - yeol,PER
xã hội,ORG
Á,ORG
đàn hợp tác kinh tế,ORG
ước Liên hợp quốc về Luật Biển 1982,ORG
Ban Chấp hành Trung ương,ORG
"Ban Chỉ đạo Trung ương về phòng, chống",ORG
Ban Nội chính Trung ương,ORG
Ban tổ chức Trung ương,ORG
Bộ Chính trị,ORG
Bộ Chính trịưởng ban Tổ chức Trung ương,ORG
PHAN THẢO,PER
QUANG PHÚC,PER
Trương Thị Mai,PER
ASEAN,ORG
Nguyễn Xuân Phúc,PER
QUỐC HÙNG,PER
Yoon Suk - yeol,PER
Đại Hàn Dân Quốc,ORG
Đội Danh dự Quân đội Hàn Quốc,ORG
A Khuyến,PER
Ban Chấp hành Trung ương Đoàn,ORG
BÍCH QUYÊN,PER
Hồ Chí Minh,PER
Lý Tự Trọng,PER
Thanh niên Việt Nam,ORG
Trường PTDT nội trú - THPT huyện Kon,ORG
Đoàn TNCS Hồ Chí Minh,ORG
HĐND TP Đà Lạt,ORG
Sở Kế hoạch và Đầu tư,ORG
Sở Kế hoạch và Đầu tư tỉnh Lâm Đồng,ORG
Thành ủy Đà Lạt,ORG
Thường,ORG
Trần Duy Hùng,PER
Trần Đức Quận,PER
Tỉnh ủy Lâm Đồng,ORG
UBND tỉnh Lâm Đồng,ORG
ĐOÀN KIÊN,PER
Đảng bộ TP Đà Lạt,ORG
Đặng Quang Tú,PER
Đặng Trí Dũng,PER
ủy Đà Lạt,ORG
C,ORG
CJ,ORG
Chang Jae - hoon,PER
Cho Huyn Sang,PER
Daewoo,ORG
Daewoo E & C,ORG
Doosan,ORG
Doosan Vina,ORG
Hwang In - boem,PER
Hyundai Motor,ORG
Jung Won - ju,PER
KIND,ORG
Kocham,ORG
Kwon Bong - seok,PER
LG,ORG
Lim Byeong Yong,PER
Nguyễn Xuân Phúc,PER
QUỐC HNG,PER
QUỐC HÙNG,PER
Quốc,ORG
Saigontel,ORG
Tập đoàn CJ,ORG
Tập đoàn CJ Kyung Shik Sohn,ORG
Tập đoàn Daewoo E & C,ORG
Tập đoàn Doosan,ORG
Tập đoàn GS E,ORG
Tập đoàn Hyosung,ORG
Tập đoàn LG,ORG
Tập đoàn LG Kwon Bong - seok,ORG
Tập đoàn Lotte,ORG
Tập đoàn Lotte Shin Dong - bin,ORG
Yeonin Jung,PER
Đất Việt,ORG
B,PER
Bộ Quốc phòng,ORG
Bộ các Lực lượng Vũ trang cách mạng Cuba,ORG
Fidel Castro,PER
Hồ Chí Minh,PER
Lương Cường,PER
Lực lượng Vũ trang cách mạng,ORG
Quân đội nhân dân Việt Nam,ORG
T,PER
Víctor Rojo Ramos,PER
l,ORG
Ban Chấp hành Đảng bộ TPHCM,ORG
Cục Thuế,ORG
Cục Thuế TPHCM,ORG
Lê Duy Minh,PER
MAI HOA,PER
Phan Văn Mãi,PER
Sở Tài Chính,ORG
Sở Tài chính,ORG
T,ORG
Tài,ORG
Tài chính,ORG
UBND TPHCM,ORG
VIỆT DŨNG,PER
Ban Bí thư,ORG
Ban Chấp hành Trung ương Đảng,ORG
Bộ Chính trị,ORG
Bộ Chính trịưởng ban Kinh tế Trung ương,ORG
Bộ Chính trịưởng ban Nội chính Trung ương,ORG
PHAN THẢO,PER
Phan Đình Trạc,PER
Phạm Minh Chính,PER
Trương Thị Mai,PER
Trần Tuấn Anh,PER
VIẾT CHUNG,PER
Võ Văn Thưởng,PER
Vũ Đức Đam,PER
XIII,ORG
ban Tổ chức Trung ương,ORG
Đảngưởng ban Nội chính Trung ương,ORG
Bộ Chính trị,ORG
HĐND TPHCM,ORG
Nguyễn Hồ Hải,PER
Nguyễn Thị Lệ,PER
Nguyễn Văn Hiếu,PER
Nguyễn Văn Nên,PER
Phan Văn Mãi,PER
Phạm Minh Chính,PER
Thành ủy TPHCM,ORG
UBND TPHCM,ORG
VIỆT DŨNG,PER
Võ Văn Thưởng,PER
VĂN MINH,PER
khu,ORG
thư,ORG
Đảng,ORG
Bộ Chính trị,ORG
Công ty RE / MAX,ORG
Công ty Viet River Holdings,ORG
Don Hà,PER
Fiso Investment John Fiso,ORG
Fonterra,ORG
KHÁNH MINH,PER
Mike Cronin,PER
Nguyễn Trương Khoa,PER
Nutifood,ORG
RE / MAX,ORG
VietTechNZ,ORG
Vinamilk,ORG
Vương Đình Huệ,PER
Hội Sinh viên Việt Nam,ORG
Hội người Việt Nam,ORG
Nam,ORG
Nguyễn Vũ Tùng,PER
Nguyễn Xuân Phúc,PER
QUỐC HÙNG,PER
Việt Nam,ORG
Vũ Đức Lượng,PER
quán,ORG
sứ quán,ORG
Đại sứ quán Việt Nam,ORG
EPG,ORG
Hồ Chí Minh,PER
"Hội Giao lưu Kinh tế, Văn hóa Hàn - Việt",ORG
Hội Hữu nghị Hàn - Việt,ORG
KOVECA,ORG
Lý,PER
Nguyễn Xuân Phúc,PER
Nhóm Những người uy tín Hàn Quốc,ORG
QUỐC HÙNG,PER
Đại sứ quán Việt Nam,ORG
Alberty Loforte,PER
Arlin,PER
Arlin Alberty Loforte,PER
Ban Chấp hành Trung ương,ORG
Ban Thường vụ,ORG
Ban Tuyên giáo,ORG
Ban Tuyên giáo Thành ủy TPHCM,ORG
Biên,ORG
Báo Granma,ORG
Báo Granma Arlin Alberty Loforte,PER
Báo Nhân Dân,ORG
Báo SGGP,ORG
Chủ,PER
Fidel Castro,PER
Gran,ORG
Granma,ORG
Hồ Chí Minh,PER
Mặt trận Chính phủ cách mạng lâm thời Cộng hòa miền Nam Việt Nam,ORG
Nguyễn Khắc Văn,PER
Nguyễn Phú Trọng,PER
Nhà nước,ORG
Phan Nguyễn Như Khuê,PER
THU HƯỜNG,PER
Thành ủy TPHCM,ORG
Thường vụ,ORG
VIỆT DŨNG,PER
Đinh Như Hoan,PER
Đảng Cộng sản Cuba,ORG
Đảng Cộng sản Việt Nam,ORG
Đảng bộ TPHCM,ORG
ủy,ORG
Ủy ban Kiểm tra Trung ương,ORG
Bộ Chính trị,ORG
Nguyễn Hữu Hiệp,PER
Nguyễn Như Trúc,PER
Nguyễn Văn Nên,PER
Phan Văn Mãi,PER
Quận ủy quận 1,ORG
TRẦN YÊN,PER
Thành ủy TP Thủ Đức,ORG
Thành ủy TPHCM,ORG
Tô Thị Bích Châu,PER
UBND TPHCM,ORG
UNESCO,ORG
VIỆT DŨNG,PER
VĂN MINH,PER
Đảng bộ TPHCM,ORG
Đảng ủy Quân sự TPHCM,ORG
Bộ Chính trị,ORG
Bộ Tư lệnh Quân khu,ORG
Bộ Tư lệnh TPHCM,ORG
Dân,PER
Nguyễn Như Trúc,PER
Nguyễn Văn Nam,PER
Nguyễn Văn Nên,PER
Phan Văn Mãi,PER
Phan Văn Xựng,PER
Quân,PER
TRẦN YÊN,PER
Thành ủy TPHCM,ORG
UBND TPHCM,ORG
VIỆT DŨNG,PER
VĂN MINH,PER
Đảng ủy Quân sự TPHCM,ORG
Bộ Ngoại giao,ORG
Cục quản lý xuất nhập cảnh Hàn Quốc,ORG
Nguyễn Xuân Phúc,PER
QUỐC HÙNG,PER
Trung tâm văn hóa Hàn Quốc,ORG
Tòa án Hàn Quốc,ORG
Tòa án Việt Nam,ORG
Việt Nam,ORG
sứ quán,ORG
trường Đại học Hàng hải Việt Nam,ORG
Liên minh Nghị sĩ Hữu nghị Nhật,ORG
Phan Văn Mãi,PER
Trungươngk - TP,ORG
Tsutomu Takebe,PER
UBND TPHCM,ORG
Việt,ORG
VĂN ĐỖ,PER
Adrian Rurawhe,PER
Ngân khố bang Victoria,ORG
PHƯƠNG NAM,PER
Quốc hội,ORG
Quốc hội New Zealand,ORG
Sinclair Brook,ORG
Tim Pallas,PER
Tập đoàn Elenberg Fraser,ORG
Tập đoàn Linfox,ORG
Vương Đình Huệ,PER
sứ quán,ORG
tác toàn diện và tiến bộ xuyên Thái,ORG
Đại học Swinburne,ORG
Ban Đối ngoại Trung ương,ORG
Bùi Thanh Sơn,PER
Bộ Chính trị,ORG
Bộ Ngoại giao,ORG
Lê Hoài Trung,PER
Nguyễn Văn Nên,PER
Phan Văn Mãi,PER
THANH HẰNG,PER
Thành ủy TPHCM,ORG
UBND TPHCM,ORG
VIỆT DŨNG,PER
TRẦN BÌNH,PER
Alec Cameron,PER
Bộ trưởng,ORG
Bộ trưởng Thương mại và Sản xuất,ORG
Giáo dục,ORG
Linda Dessau,PER
Tim Ayres,PER
VIỆT ANH,PER
Văn phòng Thương mại và Đầu tư bang,ORG
Vương Đình Huệ,PER
Đại học RMIT,ORG
Đại học Swinburne,ORG
Ban Bí thư,ORG
Ban Chấp hành Trung ương,ORG
Bùi Thanh Sơn,PER
Bùi Thanh Sơnưởng ban Liên lạc đối ngoại Trung ương Trung Quốc,ORG
Bộ Chính trị,ORG
Bộ Ngoại giao,ORG
Giang Trạch Dân,PER
Học viện Chính trị quốc gia Hồ Chí Minh,ORG
Hội Hữu nghị Việt - Trung,ORG
Hội đồng Lý luận Trung ương,ORG
Liên hiệp Các tổ chức hữu nghị Việt Nam,ORG
Lê Hoài Trung,PER
Lý Khắc Cường,PER
Lưu Kiến Siêu,PER
Lật Chiến Thư,PER
Mặt trận Tổ quốc Việt Nam,ORG
Ngoại giao,ORG
Nguyễn Phú Trọng,PER
Nguyễn Xuân Phúc,PER
Nguyễn Xuân Thắng,PER
Phạm Minh Chính,PER
Quốc hội,ORG
TTXVN,ORG
Trần Thanh Mẫn,PER
Tập Cận Bình,PER
Võ Văn Thưởng,PER
Vương Nghị,PER
Vương Đình Huệ,PER
ban Đối ngoại Trung ương,ORG
nước,ORG
nước Cộng hòa Nhân dân Trung Hoa,ORG
vụ,ORG
Đại sứ quán Trung Quốc,ORG
Đảng Cộng sản Trung Quốc,ORG
Ủy ban Trung ương,ORG
Bộ Giáo dục,ORG
Bộ Ngoại giao,ORG
Jason Clare,PER
MINH CHÂU,PER
Nam,ORG
Nhóm Nghị sĩ hữu nghị Australia -,ORG
Nhóm Nghị sĩ hữu nghị Australia - Việt Nam,ORG
Nhóm Nghị sĩ hữu nghị Việt Nam -,ORG
Nhóm Nghị sĩ hữu nghị Việt Nam - Australia,ORG
Penny Wong,PER
Peter Dutton,PER
Quốc hội,ORG
Quốc hội Australia,ORG
Quốc hội Việt Nam,ORG
Sharon Clayton,PER
Simon Birmingham,PER
Vương Đình Huệ,PER
do,ORG
viện,ORG
Đối tác Chiến lược Việt Nam -,ORG
đảng Tự do,ORG
ước Liên hiệp quốc về Luật Biển,ORG
Andy Campion,PER
Apple,ORG
Công ty TNHH Nike Việt Nam,ORG
Dell,ORG
GE,ORG
Intel,ORG
LÂM NGUYÊN,PER
Microsoft,ORG
Nike,ORG
Phạm Minh Chính,PER
KHÁNH CHÂU,PER
Thành ủy TPHCM,ORG
UBND TPHCM,ORG
Võ Văn Hoan,PER
Ban Chấp hành Đảng bộ Sở Y tế,ORG
Ban Chỉ đạo Trung ương,ORG
Ban Cán sự đảng,ORG
Ban Tuyên giáo Tỉnh ủy,ORG
Bồ Ngọc Thu,PER
Bộ Chính trị,ORG
CDC,ORG
Cao Tiến Dũng,PER
Cao su công nghiệp Đồng Nai,ORG
Cán,ORG
Cán sự,ORG
Công ty Cổ phần Đầu tư Nhơn Trạch,ORG
Công ty Trách nhiệm hữu hạn Một thành viên,ORG
Công ty Trách nhiệm hữu hạn Một thành viên Cao su công nghiệp Đồng Nai,ORG
Huỳnh Văn Tới,PER
Hà Mạnh Quân,PER
Hà Văn Út,PER
HĐND huyện Như Xuân,ORG
KH -,ORG
Khương Thành Vinh,PER
Lương Ngọc Trương,PER
Mai Hùng Dũng,PER
Nguyễn Bá Hùng,PER
Nguyễn Hồng Chương,PER
Nguyễn Lộc Hà,PER
Nguyễn Phùng Hoan,PER
Nguyễn Phú Cường,PER
Nguyễn Quốc Hùng,PER
Nguyễn Văn Hồng,PER
Nguyễn Đình Xứng,PER
Ngô Gia Tự,PER
Phan Huy Anh Vũ,PER
Phan Thanh Vĩnh Toàn,PER
Phạm Thành Trung,PER
Phạm Thị Hằng,PER
Phạm Đình Nghị,PER
Phạm Đăng Quyền,PER
Quách Văn Đức,PER
Sở GD - ĐT,ORG
Sở Tài chính,ORG
Sở Tài chính tỉnh Bình Dương,ORG
Sở Tài chính tỉnh Nam Định,ORG
Sở Tài chính tỉnh Thanh Hóa,ORG
Sở Y tế tỉnh Bình Dương,ORG
Sở Y tế tỉnh Nam Định,ORG
Sở Y tế tỉnh Thanh Hóa,ORG
TRẦN BÌNH,PER
Th,ORG
Thành ủy Biên Hòa,ORG
Thường,ORG
Trung tâm Kiểm soát bệnh tật,ORG
Trung ương,ORG
Trần Anh Dũng,PER
Trần Cẩm Tú,PER
Trần Lê Đoài,PER
Trần Minh Phúc,PER
Trần Văn Vĩnh,PER
Trần Đình Thành,PER
Trịnh Hữu Hùng,PER
